GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
centroplus,es.ies.puerto,Main,6,0,0,0,3,0,2,0,2,0
centroplus,es.ies.puerto,App,32,0,0,0,9,0,3,0,3,0
centroplus,es.ies.puerto.connection,SQLiteConnectionManager,29,41,3,1,9,12,3,4,1,4
centroplus,es.ies.puerto.controller,ReservasController,130,0,6,0,35,0,8,0,5,0
centroplus,es.ies.puerto.controller,UsuariosController,137,0,6,0,36,0,8,0,5,0
centroplus,es.ies.puerto.controller,ActividadesController,204,0,16,0,52,0,15,0,7,0
centroplus,es.ies.puerto.controller,MainController,89,0,10,0,27,0,11,0,6,0
centroplus,es.ies.puerto.controller,AddReservaController,124,0,4,0,30,0,9,0,7,0
centroplus,es.ies.puerto.controller,IncidenciasController,120,0,4,0,31,0,6,0,4,0
centroplus,es.ies.puerto.controller,AddIncidenciaController,120,0,2,0,31,0,8,0,7,0
centroplus,es.ies.puerto.controller,AddUsuarioController,118,0,2,0,31,0,8,0,7,0
centroplus,es.ies.puerto.controller,AddActividadController,104,0,2,0,30,0,7,0,6,0
centroplus,es.ies.puerto.repository.sqlite,ReservasRepository,39,204,5,9,12,48,5,8,0,6
centroplus,es.ies.puerto.repository.sqlite,IncidenciasRepository,39,224,5,9,12,53,5,8,0,6
centroplus,es.ies.puerto.repository.sqlite,ActividadesRepository,38,247,4,10,12,56,4,9,0,6
centroplus,es.ies.puerto.repository.sqlite,UsuarioRepository,38,225,4,10,12,52,4,9,0,6
centroplus,es.ies.puerto.modelo,Reservas,12,85,1,5,2,34,2,15,1,13
centroplus,es.ies.puerto.modelo,Actividades,9,135,0,8,4,50,2,23,2,19
centroplus,es.ies.puerto.modelo,Usuario,0,118,0,6,0,45,0,21,0,18
centroplus,es.ies.puerto.modelo,Incidencias,12,99,1,5,2,40,2,17,1,15
centroplus,es.ies.puerto.service.sqlite,UsuarioService,0,32,0,0,0,8,0,6,0,6
centroplus,es.ies.puerto.service.sqlite,ReservasService,0,32,0,0,0,8,0,6,0,6
centroplus,es.ies.puerto.service.sqlite,ActividadesService,0,32,0,0,0,8,0,6,0,6
centroplus,es.ies.puerto.service.sqlite,IncidenciasService,0,32,0,0,0,8,0,6,0,6
centroplus,es.ies.puerto.tools,Validaciones,64,0,20,0,20,0,16,0,6,0
